model,variant,delta_accuracy,delta_macro_f1,delta_weighted_f1,delta_auc_roc,delta_hate_f1,delta_offensive_f1,delta_normal_f1
bert_hatexplain,typos,-0.0711,-0.0752,-0.0752,-0.0571,-0.0997,-0.0712,-0.0547
bert_hatexplain,paraphrase,-0.0211,-0.0217,-0.0217,-0.029,-0.0375,-0.0112,-0.0162
bert_hatexplain,word_order,-0.0011,-0.0007,-0.0007,-0.0029,0.0017,-0.0038,0.0
bert_hatexplain,combined,-0.0711,-0.0796,-0.0796,-0.0584,-0.096,-0.0966,-0.0462
bert_hatexplain,register_shift,0.0011,0.0012,0.0012,-0.0001,0.0,0.0025,0.0011
bert_hatexplain,code_mixed,-0.0045,-0.0064,-0.0064,-0.0008,-0.0005,-0.0163,-0.0022
bert_hatexplain,demo_swap,-0.0033,-0.0032,-0.0032,-0.0036,-0.0016,0.0009,-0.0087
twitter_roberta,typos,-0.0144,-0.0129,-0.0129,-0.0067,-0.0429,0.004,0.0
twitter_roberta,paraphrase,-0.0178,-0.0147,-0.0147,-0.01,-0.0498,0.0056,0.0
twitter_roberta,word_order,-0.0022,-0.0015,-0.0015,-0.0057,-0.0047,0.0003,0.0
twitter_roberta,combined,-0.0089,-0.0083,-0.0083,-0.0044,-0.0549,0.0298,0.0
twitter_roberta,register_shift,-0.0022,-0.0018,-0.0018,-0.0013,-0.003,-0.0024,0.0
twitter_roberta,code_mixed,0.0011,0.0002,0.0002,-0.0033,-0.0021,0.0027,0.0
twitter_roberta,demo_swap,0.0,0.0002,0.0002,0.0002,-0.0026,0.0031,0.0
dynabench_roberta,typos,-0.0478,-0.0454,-0.0454,-0.0297,-0.0304,0.0,-0.1056
dynabench_roberta,paraphrase,-0.03,-0.0271,-0.0271,-0.0183,-0.0223,0.0,-0.0591
dynabench_roberta,word_order,0.0,-0.0007,-0.0007,-0.0018,0.0025,0.0,-0.0045
dynabench_roberta,combined,-0.0433,-0.0422,-0.0422,-0.0243,-0.0213,0.0,-0.1052
dynabench_roberta,register_shift,0.0,-0.0002,-0.0002,-0.0002,0.0009,0.0,-0.0014
dynabench_roberta,code_mixed,-0.0111,-0.0098,-0.0098,-0.0078,-0.0085,0.0,-0.0207
dynabench_roberta,demo_swap,-0.0156,-0.013,-0.013,-0.0062,-0.0157,0.0,-0.0233
