model,variant,accuracy,macro_f1,weighted_f1,auc_roc,hate_f1,offensive_f1,normal_f1
bert_hatexplain,clean,0.6689,0.6658,0.6658,0.8468,0.7554,0.5362,0.7057
bert_hatexplain,typos,0.5978,0.5906,0.5906,0.7897,0.6557,0.465,0.651
bert_hatexplain,paraphrase,0.6478,0.6441,0.6441,0.8178,0.7179,0.525,0.6895
bert_hatexplain,word_order,0.6678,0.6651,0.6651,0.8439,0.7571,0.5324,0.7057
bert_hatexplain,combined,0.5978,0.5862,0.5862,0.7884,0.6594,0.4396,0.6595
bert_hatexplain,register_shift,0.67,0.667,0.667,0.8467,0.7554,0.5387,0.7068
bert_hatexplain,code_mixed,0.6644,0.6594,0.6594,0.846,0.7549,0.5199,0.7035
bert_hatexplain,demo_swap,0.6656,0.6626,0.6626,0.8432,0.7538,0.5371,0.697
twitter_roberta,clean,0.3811,0.3118,0.3118,0.5448,0.5719,0.3636,0.0
twitter_roberta,typos,0.3667,0.2989,0.2989,0.5381,0.529,0.3676,0.0
twitter_roberta,paraphrase,0.3633,0.2971,0.2971,0.5348,0.5221,0.3692,0.0
twitter_roberta,word_order,0.3789,0.3103,0.3103,0.5391,0.5672,0.3639,0.0
twitter_roberta,combined,0.3722,0.3035,0.3035,0.5404,0.517,0.3934,0.0
twitter_roberta,register_shift,0.3789,0.31,0.31,0.5435,0.5689,0.3612,0.0
twitter_roberta,code_mixed,0.3822,0.312,0.312,0.5415,0.5698,0.3663,0.0
twitter_roberta,demo_swap,0.3811,0.312,0.312,0.545,0.5693,0.3667,0.0
dynabench_roberta,clean,0.5,0.4039,0.4039,0.6842,0.5832,0.0,0.6284
dynabench_roberta,typos,0.4522,0.3585,0.3585,0.6545,0.5528,0.0,0.5228
dynabench_roberta,paraphrase,0.47,0.3768,0.3768,0.6659,0.5609,0.0,0.5693
dynabench_roberta,word_order,0.5,0.4032,0.4032,0.6824,0.5857,0.0,0.6239
dynabench_roberta,combined,0.4567,0.3617,0.3617,0.6599,0.5619,0.0,0.5232
dynabench_roberta,register_shift,0.5,0.4037,0.4037,0.684,0.5841,0.0,0.627
dynabench_roberta,code_mixed,0.4889,0.3941,0.3941,0.6764,0.5747,0.0,0.6077
dynabench_roberta,demo_swap,0.4844,0.3909,0.3909,0.678,0.5675,0.0,0.6051
